respondentId,prevents_cavities,shiny_teeth,strengthens_gums,freshens_breath,prevent_decay_not_imp,attractive_teeth,purchase_likelihood
1,7,3,6,4,2,4,2
2,1,3,2,4,5,4,2
3,6,2,7,4,1,3,1
4,4,5,4,6,2,5,7
5,1,2,2,3,6,2,1
6,6,3,6,4,2,4,1
7,5,3,6,3,4,3,1
8,6,4,7,4,1,4,2
9,3,4,2,3,6,3,3
10,2,6,2,6,7,6,7
11,6,4,7,3,2,3,3
12,2,3,1,4,5,4,2
13,7,2,6,4,1,3,2
14,4,6,4,5,3,6,7
15,1,3,2,2,6,4,2
16,6,4,6,3,3,4,3
17,5,3,6,3,3,4,2
18,7,3,7,4,1,4,3
19,2,4,3,3,6,3,3
20,3,5,3,6,4,6,7
21,1,3,2,3,5,3,2
22,5,4,5,4,2,4,1
23,2,2,1,5,4,4,2
24,4,6,4,6,4,7,7
25,6,5,4,2,1,4,3
26,3,5,4,6,4,7,7
27,4,4,7,2,2,5,2
28,3,7,2,6,4,3,4
29,4,6,3,7,2,7,7
30,2,3,2,4,7,2,4
